,Create_Date,EventFirstDispatched,EventFirstArrive,Date,avg_temp
0,1459470120,1459470120,1459470360,2016-04-01,56.0
1,1459475040,1459475040,1459475340,2016-04-01,56.0
2,1459476780,1459476780,1459477020,2016-04-01,56.0
3,1459483620,1459483620,1459483920,2016-04-01,56.0
4,1459489740,1459489800,1459490100,2016-04-01,56.0
5,1459495380,1459495440,1459495560,2016-04-01,56.0
6,1459496700,1459496700,1459496940,2016-04-01,56.0
7,1459497000,1459497060,1459497540,2016-04-01,56.0
8,1459499820,1459499880,1459500060,2016-04-01,56.0
9,1459500720,1459500780,1459501020,2016-04-01,56.0
10,1459500900,1459500900,1459501320,2016-04-01,56.0
11,1459501500,1459501500,1459501860,2016-04-01,56.0
12,1459501620,1459501620,1459501740,2016-04-01,56.0
13,1459505340,1459505340,1459505520,2016-04-01,56.0
14,1459505880,1459506000,1459506120,2016-04-01,56.0
15,1459506420,1459506420,1459506540,2016-04-01,56.0
16,1459506900,1459506960,1459507380,2016-04-01,56.0
17,1459507320,1459507320,1459507680,2016-04-01,56.0
18,1459508340,1459508340,1459508400,2016-04-01,56.0
19,1459514640,1459514640,1459514880,2016-04-01,56.0
20,1459517100,1459517100,1459517820,2016-04-01,56.0
21,1459517400,1459517460,1459517940,2016-04-01,56.0
22,1459517460,1459517460,1459517760,2016-04-01,56.0
23,1459518000,1459518060,1459518180,2016-04-01,56.0
24,1459520700,1459520700,1459520940,2016-04-01,56.0
25,1459522800,1459522800,1459522980,2016-04-01,56.0
26,1459525680,1459525680,1459525920,2016-04-01,56.0
27,1459527600,1459527600,1459527840,2016-04-01,56.0
28,1459529100,1459529100,1459529340,2016-04-01,56.0
29,1459529820,1459529880,1459530060,2016-04-01,56.0
30,1459530240,1459530240,1459530480,2016-04-01,56.0
31,1459534620,1459534620,1459534860,2016-04-01,56.0
32,1459538040,1459538040,1459538220,2016-04-01,56.0
33,1459541760,1459541820,1459542000,2016-04-01,56.0
34,1459545660,1459545720,1459545900,2016-04-01,56.0
35,1459546620,1459546740,1459546920,2016-04-01,56.0
36,1459546920,1459546920,1459547100,2016-04-01,56.0
37,1459553520,1459553520,1459553940,2016-04-01,56.0
38,1459554180,1459554180,1459554360,2016-04-01,56.0
39,1459590780,1459590780,1459590960,2016-04-02,44.0
40,1459594020,1459594080,1459594200,2016-04-02,44.0
41,1459599180,1459599180,1459599360,2016-04-02,44.0
42,1459600560,1459600560,1459600740,2016-04-02,44.0
43,1459602420,1459602480,1459602660,2016-04-02,44.0
44,1459607280,1459607340,1459607460,2016-04-02,44.0
45,1459612020,1459612020,1459612320,2016-04-02,44.0
46,1459612320,1459612320,1459612620,2016-04-02,44.0
47,1459615380,1459615380,1459615680,2016-04-02,44.0
48,1459615800,1459615800,1459616100,2016-04-02,44.0
49,1459616220,1459616220,1459616400,2016-04-02,44.0
50,1459616340,1459616400,1459616580,2016-04-02,44.0
51,1459617120,1459617120,1459617420,2016-04-02,44.0
52,1459623480,1459623480,1459623480,2016-04-02,44.0
53,1459623780,1459623840,1459623960,2016-04-02,44.0
54,1459623900,1459623960,1459624320,2016-04-02,44.0
55,1459625460,1459625460,1459625580,2016-04-02,44.0
56,1459625940,1459625940,1459626180,2016-04-02,44.0
57,1459634640,1459634700,1459634880,2016-04-02,44.0
58,1459635300,1459635300,1459635480,2016-04-02,44.0
59,1459636740,1459636740,1459637040,2016-04-02,44.0
60,1459637880,1459637880,1459638240,2016-04-02,44.0
61,1459638420,1459638480,1459638600,2016-04-02,44.0
62,1459640880,1459640880,1459641120,2016-04-02,44.0
63,1459640880,1459640940,1459641300,2016-04-02,44.0
64,1459641420,1459641420,1459641720,2016-04-02,44.0
65,1459650840,1459650840,1459651020,2016-04-03,36.0
66,1459685520,1459685520,1459685760,2016-04-03,36.0
67,1459686480,1459686480,1459686780,2016-04-03,36.0
68,1459686960,1459686960,1459687200,2016-04-03,36.0
69,1459687020,1459687020,1459687380,2016-04-03,36.0
70,1459693800,1459693800,1459694040,2016-04-03,36.0
