"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-01",,,,,"0.42",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-04",,,,,"0.05",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-05",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-07",,,,,"0.26",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-08",,,,,"0.07","0.0",,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-09",,,,,"0.19","0.2",,,,,,,,"0.0","0.0",,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-10",,,,,"0.00","0.0",,,,,,,,,"0.0",,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-11",,,,,"0.18",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-12",,,,,"0.63",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-18",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-19",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-21",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-22",,,,,"0.21",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-28",,,,,"0.11",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-29",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-04-30",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-01",,,,,"0.62",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-02",,,,,"1.05",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-05",,,,,"0.04",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-09",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-10",,,,,"0.22",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-11",,,,,"0.31",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-13",,,,,"0.29",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-14",,,,,"0.17",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-15",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-18",,,,,"0.18",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-19",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-20",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-21",,,,,"0.66",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-22",,,,,"0.06",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-29",,,,,"0.06",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-30",,,,,"0.24",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-05-31",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-06-01",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-06-02",,,,,"0.05",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-06-03",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-06-04",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-06-05",,,,,"1.91",,,,,,,,,,,,,,,,,,,,,
"US1OHFR0030","HILLIARD 1.8 W, OH US","2016-06-06",,,,,"0.12",,,,,,,,,,,,,,,,,,,,,
